timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,position
3415104727,-1,4,-1,1,3,10,-6,6,1
3415106728,-3,-10,2,-5,-5,-5,-13,22,1
3415106728,-3,0,1,0,2,-9,-6,-4,1
3415127960,3,1,1,-4,-9,11,4,-9,1
3415127960,-3,-3,-1,-2,-2,-19,-33,-7,1
3415128921,7,4,0,4,2,-2,29,-26,1
3415128921,14,1,0,2,0,18,11,31,1
3415149450,-14,-3,1,-4,2,-11,-19,-14,1
3415149450,-18,-3,0,1,-6,-33,-4,15,1
3415151081,27,10,3,3,4,38,-4,52,1
3415151081,-4,-9,-7,-3,-5,-8,-6,-17,1
3415164637,1,-3,-2,2,-3,-21,12,31,1
3415164637,9,4,1,0,6,17,10,-13,1
3415166079,-14,-4,-3,2,0,-5,-6,-16,1
3415166079,-5,0,-2,-4,-2,-10,8,6,1
3415187071,11,-1,3,0,1,17,-34,11,1
3415187071,-5,-3,-2,-1,-1,-2,17,9,1
3415188682,-30,1,2,-4,-1,6,-11,-57,1
3415188682,17,-4,-1,4,8,38,32,33,1
3415209466,1,3,0,-3,-3,-34,5,31,1
3415209466,-20,-5,0,-3,-2,4,-26,-48,1
3415211076,30,4,0,3,4,0,66,35,1
3415211076,-20,2,-3,-1,-6,-43,-12,-16,1
3415223764,1,-1,1,3,8,17,20,-43,1
3415223764,31,-2,1,1,-5,-41,36,61,1
3415230689,2,8,-8,9,11,32,10,-6,1
3415230689,-18,-2,1,-8,-10,-14,3,-20,1
3415245636,8,1,2,-2,-3,-28,-11,3,1
3415245636,-6,-5,-6,2,5,7,7,-24,1
3415254607,6,5,4,1,7,13,-18,13,1
3415254607,0,-3,2,-6,-6,-16,-3,-18,1
3415269458,-4,6,-1,1,-1,12,-6,-11,1
3415269458,6,-8,-6,5,2,0,55,25,1
3415271174,-14,0,-2,-1,-5,-8,0,11,1
3415271174,8,-2,-5,4,9,64,-3,55,1
3415291950,-17,4,4,-6,-6,-12,-19,-63,1
3415291950,13,5,0,5,5,31,72,48,1
3415293589,-11,-10,-1,-9,-15,-38,-84,-56,1
3415293589,7,5,3,4,0,2,35,11,1
3415305670,4,-6,-3,5,6,34,9,4,1
3415305670,-10,3,3,-2,-3,9,-17,-29,1
3415314640,-9,-2,-1,3,2,6,-5,-37,1
3415314640,-16,-4,6,-17,-15,-54,-97,-21,1
3415329399,-17,-2,3,-4,-6,-17,-5,-32,1
3415329399,24,7,7,-2,-1,34,-11,20,1
3415331043,-1,-5,1,-2,-2,3,23,9,1
3415331043,3,5,-6,6,19,24,-40,-8,1
3415351946,-11,-3,-1,-6,-5,11,-19,-27,1
3415351946,-22,-13,1,-10,-11,-19,-30,-39,1
3415353610,-6,0,-2,-1,0,-36,58,10,1
3415353610,-2,3,6,-5,-9,-37,-64,-47,1
3415365671,16,1,-2,3,4,34,56,35,1
3415365671,-7,0,1,-3,-3,5,-18,20,1
3415374671,-15,0,-2,-1,0,-23,-10,-3,1
3415374671,-3,-3,4,-2,0,4,12,-36,1
3415389597,7,-1,-2,5,5,7,34,35,1
3415389597,-13,0,-2,-2,2,-1,-51,-19,1
3415391114,4,-4,3,-5,-1,-11,25,21,1
3415391114,7,2,-6,8,0,16,19,23,1
3415412005,6,1,0,-6,-1,12,-27,7,1
3415412005,-9,-5,-2,0,-2,-43,-3,-2,1
